,Province/State,Country/Region,Lat,Long,Date,Min Temp (F),Max Temp (F),Wind Speed (Miles),Humidity,Pressure,Precip (Inches),Weather Code
63,,Morocco,31.79,-7.09,2020-02-10,50.0,75.0,2.0,30.0,1030.0,0.0,113.0
64,,Saudi Arabia,24.0,45.0,2020-02-10,53.0,68.0,6.0,24.0,1017.0,0.0,116.0
65,,Senegal,14.5,-14.45,2020-02-10,67.0,100.0,12.0,6.0,1013.0,0.0,113.0
66,,Argentina,-38.42,-63.62,2020-02-10,58.0,84.0,9.0,28.0,1020.0,0.0,116.0
67,,Chile,-35.68,-71.54,2020-02-10,54.0,99.0,5.0,24.0,1013.0,0.0,113.0
68,,Jordan,31.24,36.51,2020-02-10,32.0,41.0,16.0,66.0,1025.0,0.0,176.0
69,,Ukraine,48.38,31.17,2020-02-10,24.0,37.0,28.0,74.0,1019.0,0.0,116.0
70,,Hungary,47.16,19.5,2020-02-10,38.0,55.0,22.0,63.0,1007.0,0.0,122.0
71,Northern Territory,Australia,-12.46,130.85,2020-02-10,84.0,88.0,14.0,75.0,1008.0,0.0,176.0
72,,Liechtenstein,47.14,9.55,2020-02-10,29.0,39.0,8.0,83.0,1012.0,0.1,299.0
73,,Poland,51.92,19.15,2020-02-10,39.0,49.0,24.0,69.0,989.0,0.1,293.0
74,,Tunisia,34.0,9.0,2020-02-10,49.0,66.0,6.0,24.0,1033.0,0.0,113.0
75,,Bosnia and Herzegovina,43.92,17.68,2020-02-10,22.0,42.0,17.0,86.0,1018.0,0.0,119.0
76,,Slovenia,46.15,15.0,2020-02-10,38.0,54.0,24.0,68.0,1009.0,0.0,116.0
77,,South Africa,-30.56,22.94,2020-02-10,62.0,85.0,9.0,24.0,1015.0,0.0,116.0
78,,Bhutan,27.51,90.43,2020-02-10,23.0,47.0,6.0,24.0,1017.0,0.0,113.0
79,,Cameroon,3.85,11.5,2020-02-10,68.0,94.0,6.0,34.0,1012.0,0.0,116.0
80,,Colombia,4.57,-74.3,2020-02-10,51.0,67.0,2.0,59.0,1014.0,0.0,116.0
81,,Costa Rica,9.75,-83.75,2020-02-10,54.0,74.0,8.0,53.0,1011.0,0.0,116.0
82,,Peru,-9.19,-75.02,2020-02-10,72.0,96.0,4.0,44.0,1011.0,0.0,116.0
83,,Serbia,44.02,21.01,2020-02-10,32.0,49.0,10.0,60.0,1019.0,0.0,116.0
84,,Slovakia,48.67,19.7,2020-02-10,29.0,40.0,7.0,97.0,1003.0,0.0,176.0
85,,Togo,8.62,0.82,2020-02-10,71.0,100.0,7.0,12.0,1012.0,0.0,116.0
86,,Malta,35.94,14.38,2020-02-10,52.0,61.0,17.0,74.0,1031.0,0.0,113.0
87,,Martinique,14.64,-61.02,2020-02-10,74.0,79.0,17.0,68.0,1019.0,0.0,176.0
88,,Bulgaria,42.73,25.49,2020-02-10,25.0,40.0,4.0,81.0,1023.0,0.0,116.0
89,,Maldives,3.2,73.22,2020-02-10,68.0,82.0,17.0,75.0,1012.0,0.0,119.0
90,,Bangladesh,23.69,90.36,2020-02-10,62.0,82.0,8.0,23.0,1017.0,0.0,116.0
91,,Paraguay,-23.44,-58.44,2020-02-10,78.0,97.0,7.0,38.0,1011.0,0.0,116.0
92,Ontario,Canada,51.25,-85.32,2020-02-10,3.0,25.0,8.0,87.0,1014.0,0.0,119.0
93,Alberta,Canada,53.93,-116.58,2020-02-10,12.0,30.0,6.0,82.0,1027.0,0.0,116.0
94,Quebec,Canada,52.94,-73.55,2020-02-10,-20.0,-1.0,5.0,91.0,1017.0,0.0,122.0
95,,Albania,41.15,20.17,2020-02-10,31.0,50.0,4.0,75.0,1025.0,0.0,116.0
96,,Cyprus,35.13,33.43,2020-02-10,34.0,47.0,7.0,46.0,1026.0,0.0,113.0
97,,Brunei,4.54,114.73,2020-02-10,73.0,89.0,3.0,63.0,1013.0,0.0,116.0
98,Washington,US,47.4,-121.49,2020-02-10,23.0,38.0,1.0,78.0,1030.0,0.0,116.0
99,New York,US,42.17,-74.95,2020-02-10,26.0,35.0,9.0,99.0,1017.0,0.1,296.0
100,California,US,36.12,-119.68,2020-02-10,39.0,67.0,4.0,37.0,1016.0,0.0,113.0
101,Massachusetts,US,42.23,-71.53,2020-02-10,35.0,42.0,14.0,88.0,1019.0,0.1,302.0
102,Diamond Princess,US,35.44,139.64,2020-02-10,34.0,48.0,2.0,47.0,1014.0,0.0,116.0
103,Grand Princess,US,37.65,-122.67,2020-02-10,50.0,64.0,5.0,40.0,1016.0,0.0,113.0
104,Georgia,US,33.04,-83.64,2020-02-10,44.0,67.0,8.0,78.0,1025.0,0.0,116.0
105,Colorado,US,39.06,-105.31,2020-02-10,11.0,22.0,5.0,81.0,1019.0,0.0,119.0
106,Florida,US,27.77,-81.69,2020-02-10,60.0,80.0,12.0,68.0,1025.0,0.0,119.0
107,New Jersey,US,40.3,-74.52,2020-02-10,28.0,43.0,12.0,81.0,1021.0,0.0,296.0
108,Oregon,US,44.57,-122.07,2020-02-10,24.0,52.0,2.0,58.0,1028.0,0.0,116.0
109,Texas,US,31.05,-97.56,2020-02-10,43.0,53.0,13.0,85.0,1017.0,0.1,353.0
110,Illinois,US,40.35,-88.99,2020-02-10,24.0,33.0,8.0,84.0,1022.0,0.0,122.0
111,Pennsylvania,US,40.59,-77.21,2020-02-10,37.0,44.0,6.0,86.0,1019.0,0.0,122.0
112,Iowa,US,42.01,-93.21,2020-02-10,10.0,29.0,5.0,84.0,1024.0,0.0,116.0
113,Maryland,US,39.06,-76.8,2020-02-10,34.0,47.0,11.0,69.0,1022.0,0.0,122.0
114,North Carolina,US,35.63,-79.81,2020-02-10,37.0,59.0,10.0,74.0,1026.0,0.0,119.0
115,South Carolina,US,33.86,-80.95,2020-02-10,44.0,68.0,8.0,71.0,1026.0,0.0,116.0
116,Tennessee,US,35.75,-86.69,2020-02-10,50.0,55.0,13.0,95.0,1018.0,0.2,302.0
117,Virginia,US,37.77,-78.17,2020-02-10,38.0,51.0,10.0,66.0,1023.0,0.0,122.0
118,Arizona,US,33.73,-111.43,2020-02-10,53.0,68.0,2.0,40.0,1011.0,0.0,116.0
119,Indiana,US,39.85,-86.26,2020-02-10,32.0,38.0,7.0,86.0,1020.0,0.0,182.0
120,Kentucky,US,37.67,-84.67,2020-02-10,46.0,50.0,15.0,93.0,1019.0,0.2,302.0
121,District of Columbia,US,38.9,-77.03,2020-02-10,37.0,48.0,11.0,63.0,1022.0,0.0,266.0
122,Nevada,US,38.31,-117.06,2020-02-10,26.0,41.0,14.0,29.0,1022.0,0.0,116.0
123,New Hampshire,US,43.45,-71.56,2020-02-10,23.0,38.0,6.0,99.0,1016.0,0.0,248.0
124,Minnesota,US,45.69,-93.9,2020-02-10,7.0,26.0,13.0,90.0,1018.0,0.0,116.0
125,Nebraska,US,41.13,-98.27,2020-02-10,27.0,42.0,11.0,50.0,1022.0,0.0,116.0
126,Ohio,US,40.39,-82.76,2020-02-10,32.0,44.0,5.0,98.0,1018.0,0.1,143.0
127,Rhode Island,US,41.68,-71.51,2020-02-10,37.0,42.0,15.0,86.0,1021.0,0.1,296.0
128,Wisconsin,US,44.27,-89.62,2020-02-10,5.0,27.0,5.0,87.0,1023.0,0.0,116.0
129,Connecticut,US,41.6,-72.76,2020-02-10,36.0,41.0,10.0,85.0,1020.0,0.0,122.0
130,Hawaii,US,21.09,-157.5,2020-02-10,63.0,71.0,22.0,67.0,1009.0,0.0,353.0
131,Oklahoma,US,35.57,-96.93,2020-02-10,34.0,44.0,11.0,63.0,1022.0,0.0,116.0
132,Utah,US,40.15,-111.86,2020-02-10,23.0,32.0,1.0,54.0,1025.0,0.0,116.0
133,,Burkina Faso,12.24,-1.56,2020-02-10,73.0,97.0,15.0,11.0,1014.0,0.0,116.0
134,,Holy See,41.9,12.45,2020-02-10,50.0,55.0,7.0,78.0,1024.0,0.0,353.0
135,,Mongolia,46.86,103.85,2020-02-10,24.0,40.0,4.0,28.0,1006.0,0.0,116.0
136,,Panama,8.54,-80.78,2020-02-10,73.0,89.0,18.0,54.0,1011.0,0.0,116.0
137,Kansas,US,38.53,-96.73,2020-02-10,28.0,42.0,5.0,52.0,1024.0,0.0,116.0
138,Louisiana,US,31.17,-91.87,2020-02-10,63.0,75.0,14.0,89.0,1017.0,0.0,353.0
139,Missouri,US,38.46,-92.29,2020-02-10,26.0,39.0,7.0,77.0,1023.0,0.0,122.0
140,Vermont,US,44.05,-72.71,2020-02-10,24.0,35.0,8.0,100.0,1014.0,0.0,248.0
141,Alaska,US,61.37,-152.4,2020-02-10,-1.0,14.0,11.0,64.0,1022.0,0.0,113.0
142,Arkansas,US,34.97,-92.37,2020-02-10,45.0,60.0,8.0,85.0,1017.0,0.0,353.0
143,Delaware,US,39.32,-75.51,2020-02-10,37.0,46.0,17.0,72.0,1022.0,0.0,296.0
144,Idaho,US,44.24,-114.48,2020-02-10,1.0,25.0,3.0,72.0,1030.0,0.0,116.0
145,Maine,US,44.69,-69.38,2020-02-10,19.0,36.0,9.0,97.0,1016.0,0.0,248.0
146,Michigan,US,43.33,-84.54,2020-02-10,19.0,30.0,5.0,90.0,1021.0,0.0,122.0
147,Mississippi,US,32.74,-89.68,2020-02-10,57.0,69.0,14.0,89.0,1017.0,0.1,356.0
148,Montana,US,46.92,-110.45,2020-02-10,9.0,18.0,9.0,88.0,1030.0,0.0,338.0
149,New Mexico,US,34.84,-106.25,2020-02-10,36.0,45.0,11.0,77.0,1014.0,0.0,263.0
150,North Dakota,US,47.53,-99.78,2020-02-10,11.0,18.0,14.0,89.0,1017.0,0.0,119.0
151,South Dakota,US,44.3,-99.44,2020-02-10,19.0,29.0,12.0,85.0,1020.0,0.0,116.0
152,West Virginia,US,38.49,-80.95,2020-02-10,33.0,43.0,7.0,90.0,1021.0,0.1,302.0
153,Wyoming,US,42.76,-107.3,2020-02-10,0.0,20.0,5.0,87.0,1030.0,0.0,122.0
154,Hubei,China,30.98,112.27,2020-02-10,46.0,55.0,11.0,59.0,1022.0,0.0,116.0
155,,Iran,32.0,53.0,2020-02-10,31.0,43.0,39.0,22.0,1012.0,0.0,113.0
156,,"Korea, South",36.0,128.0,2020-02-10,27.0,47.0,6.0,47.0,1023.0,0.0,113.0
157,France,France,46.23,2.21,2020-02-10,46.0,49.0,12.0,80.0,1021.0,0.0,266.0
158,Guangdong,China,23.34,113.42,2020-02-10,54.0,70.0,4.0,54.0,1024.0,0.0,116.0
159,Henan,China,33.88,113.61,2020-02-10,43.0,63.0,11.0,47.0,1021.0,0.0,116.0
160,Zhejiang,China,29.18,120.09,2020-02-10,39.0,60.0,3.0,51.0,1025.0,0.0,116.0
161,Hunan,China,27.61,111.71,2020-02-10,44.0,49.0,2.0,82.0,1024.0,0.0,122.0
162,Anhui,China,31.83,117.23,2020-02-10,44.0,59.0,9.0,57.0,1024.0,0.0,116.0
163,Jiangxi,China,27.61,115.72,2020-02-10,44.0,56.0,1.0,73.0,1025.0,0.0,116.0
164,Shandong,China,36.34,118.15,2020-02-10,38.0,53.0,9.0,40.0,1021.0,0.0,113.0
165,Diamond Princess,Cruise Ship,35.44,139.64,2020-02-10,34.0,48.0,2.0,47.0,1014.0,0.0,116.0
166,Jiangsu,China,32.97,119.46,2020-02-10,43.0,56.0,6.0,52.0,1024.0,0.0,116.0
167,Chongqing,China,30.06,107.87,2020-02-10,41.0,54.0,1.0,77.0,1021.0,0.0,176.0
168,Sichuan,China,30.62,102.71,2020-02-10,12.0,32.0,3.0,53.0,1015.0,0.0,329.0
169,Heilongjiang,China,47.86,127.76,2020-02-10,-6.0,12.0,7.0,90.0,1025.0,0.0,326.0
170,Denmark,Denmark,56.26,9.5,2020-02-10,37.0,43.0,24.0,74.0,976.0,0.0,353.0
171,Beijing,China,40.18,116.41,2020-02-10,35.0,53.0,2.0,38.0,1019.0,0.0,113.0
172,Shanghai,China,31.2,121.45,2020-02-10,45.0,60.0,6.0,40.0,1026.0,0.0,116.0
173,Hebei,China,39.55,116.13,2020-02-10,39.0,57.0,3.0,34.0,1019.0,0.0,113.0
174,Fujian,China,26.08,117.99,2020-02-10,39.0,64.0,2.0,57.0,1024.0,0.0,116.0
175,Guangxi,China,23.83,108.79,2020-02-10,50.0,63.0,3.0,71.0,1024.0,0.0,122.0
176,Shaanxi,China,35.19,108.87,2020-02-10,36.0,51.0,4.0,24.0,1019.0,0.0,116.0
177,Yunnan,China,24.97,101.49,2020-02-10,46.0,59.0,6.0,85.0,1015.0,0.1,389.0
178,Hainan,China,19.2,109.75,2020-02-10,58.0,69.0,3.0,83.0,1021.0,0.0,176.0
179,Guizhou,China,26.82,106.87,2020-02-10,44.0,52.0,6.0,79.0,1020.0,0.0,116.0
180,Tianjin,China,39.31,117.32,2020-02-10,42.0,60.0,1.0,28.0,1020.0,0.0,113.0
181,Shanxi,China,37.58,112.29,2020-02-10,37.0,50.0,3.0,26.0,1020.0,0.0,113.0
182,Gansu,China,37.81,101.06,2020-02-10,11.0,19.0,4.0,30.0,1017.0,0.0,122.0
183,Hong Kong,China,22.3,114.2,2020-02-10,57.0,64.0,9.0,73.0,1024.0,0.0,119.0
184,Liaoning,China,41.3,122.61,2020-02-10,23.0,43.0,5.0,44.0,1022.0,0.0,116.0
185,Jilin,China,43.67,126.19,2020-02-10,-1.0,28.0,1.0,78.0,1025.0,0.0,116.0
186,,Czechia,49.82,15.47,2020-02-10,39.0,51.0,27.0,60.0,997.0,0.1,299.0
187,Xinjiang,China,41.11,85.24,2020-02-10,25.0,40.0,7.0,53.0,1019.0,0.0,116.0
188,Inner Mongolia,China,44.09,113.94,2020-02-10,11.0,24.0,7.0,77.0,1016.0,0.0,116.0
189,Ningxia,China,37.27,106.17,2020-02-10,32.0,46.0,9.0,37.0,1017.0,0.0,113.0
190,,Taiwan*,23.7,121.0,2020-02-10,51.0,67.0,6.0,54.0,1024.0,0.0,116.0
191,,Vietnam,16.0,108.0,2020-02-10,63.0,72.0,8.0,85.0,1019.0,0.1,353.0
192,,Russia,60.0,90.0,2020-02-10,-16.0,-4.0,5.0,97.0,1002.0,0.0,326.0
193,Qinghai,China,35.75,96.0,2020-02-10,14.0,32.0,5.0,18.0,1026.0,0.0,113.0
194,Macau,China,22.17,113.55,2020-02-10,54.0,64.0,8.0,74.0,1024.0,0.0,176.0
195,,Moldova,47.41,28.37,2020-02-10,29.0,42.0,23.0,54.0,1015.0,0.0,116.0
196,,Bolivia,-16.29,-63.59,2020-02-10,72.0,81.0,4.0,93.0,1013.0,0.0,356.0
197,Faroe Islands,Denmark,61.89,-6.91,2020-02-10,38.0,40.0,14.0,75.0,956.0,0.0,371.0
198,St Martin,France,18.07,-63.05,2020-02-10,78.0,79.0,21.0,76.0,1021.0,0.0,116.0
199,,Honduras,15.2,-86.24,2020-02-10,59.0,84.0,8.0,50.0,1015.0,0.0,176.0
200,Channel Islands,United Kingdom,49.37,-2.36,2020-02-10,48.0,50.0,41.0,73.0,1008.0,0.1,176.0
201,New Brunswick,Canada,46.57,-66.46,2020-02-10,15.0,35.0,10.0,99.0,1018.0,0.2,338.0
202,Tibet,China,31.69,88.09,2020-02-10,-4.0,25.0,6.0,19.0,1020.0,0.0,113.0
203,,Congo (Kinshasa),-4.04,21.76,2020-02-10,67.0,87.0,2.0,67.0,1012.0,0.0,293.0
204,,Cote d'Ivoire,7.54,-5.55,2020-02-10,71.0,98.0,3.0,40.0,1013.0,0.0,116.0
205,Saint Barthelemy,France,17.9,-62.83,2020-02-10,78.0,78.0,20.0,76.0,1021.0,0.0,116.0
206,,Jamaica,18.11,-77.3,2020-02-10,64.0,81.0,9.0,62.0,1017.0,0.0,116.0
207,,Turkey,38.96,35.24,2020-02-10,1.0,17.0,2.0,50.0,1032.0,0.0,116.0
208,Gibraltar,United Kingdom,36.14,-5.35,2020-02-10,47.0,58.0,8.0,75.0,1032.0,0.0,113.0
209,"Kitsap, WA",US,47.65,-122.64,2020-02-10,34.0,46.0,5.0,73.0,1030.0,0.0,116.0
210,"Solano, CA",US,38.31,-121.9,2020-02-10,47.0,65.0,13.0,36.0,1017.0,0.0,113.0
211,"Santa Cruz, CA",US,37.05,-121.96,2020-02-10,45.0,67.0,3.0,30.0,1016.0,0.0,113.0
212,"Napa, CA",US,38.5,-122.27,2020-02-10,40.0,63.0,11.0,36.0,1017.0,0.0,113.0
213,"Ventura, CA",US,34.37,-119.14,2020-02-10,41.0,62.0,4.0,30.0,1013.0,0.0,116.0
214,"Worcester, MA",US,42.41,-71.86,2020-02-10,28.0,38.0,15.0,92.0,1018.0,0.1,296.0
215,"Gwinnett, GA",US,33.92,-84.02,2020-02-10,39.0,53.0,5.0,86.0,1025.0,0.0,122.0
216,"DeKalb, GA",US,33.8,-84.23,2020-02-10,43.0,55.0,6.0,87.0,1025.0,0.0,122.0
217,"Floyd, GA",US,37.55,-82.78,2020-02-10,44.0,50.0,10.0,91.0,1021.0,0.2,302.0
218,"Fayette, GA",US,33.45,-84.48,2020-02-10,43.0,60.0,7.0,84.0,1025.0,0.0,122.0
219,"Gregg, TX",US,32.49,-94.85,2020-02-10,52.0,64.0,8.0,92.0,1016.0,0.2,353.0
220,"Monmouth, NJ",US,40.26,-74.12,2020-02-10,31.0,44.0,17.0,80.0,1022.0,0.0,266.0
221,"Burlington, NJ",US,40.07,-74.86,2020-02-10,33.0,44.0,13.0,78.0,1022.0,0.1,302.0
222,"Camden, NJ",US,39.93,-75.12,2020-02-10,31.0,44.0,13.0,75.0,1022.0,0.0,296.0
223,"Passaic, NJ",US,40.86,-74.13,2020-02-10,33.0,42.0,12.0,79.0,1021.0,0.0,266.0
224,"Union, NJ",US,40.7,-74.26,2020-02-10,28.0,43.0,12.0,79.0,1021.0,0.0,266.0
225,"Eagle, CO",US,39.66,-106.83,2020-02-10,1.0,28.0,2.0,90.0,1020.0,0.0,329.0
226,"Larimer, CO",US,40.7,-105.59,2020-02-10,6.0,20.0,1.0,67.0,1025.0,0.0,122.0
227,"Arapahoe, CO",US,39.62,-104.33,2020-02-10,18.0,30.0,6.0,58.0,1021.0,0.0,116.0
228,"Gunnison, CO",US,38.55,-106.93,2020-02-10,10.0,31.0,1.0,91.0,1016.0,0.1,335.0
229,"Kane, IL",US,41.99,-88.4,2020-02-10,17.0,31.0,4.0,87.0,1023.0,0.0,116.0
230,"Monroe, PA",US,41.05,-75.25,2020-02-10,32.0,40.0,9.0,92.0,1020.0,0.0,296.0
231,"Philadelphia, PA",US,39.95,-75.17,2020-02-10,31.0,44.0,13.0,75.0,1022.0,0.0,296.0
232,"Norfolk, VA",US,36.85,-76.29,2020-02-10,42.0,61.0,14.0,56.0,1026.0,0.0,116.0
233,"Arlington, VA",US,38.88,-77.09,2020-02-10,37.0,48.0,11.0,63.0,1022.0,0.0,266.0
234,"Spotsylvania, VA",US,38.2,-77.61,2020-02-10,37.0,50.0,11.0,61.0,1023.0,0.0,122.0
235,"Loudoun, VA",US,39.08,-77.65,2020-02-10,39.0,45.0,10.0,79.0,1021.0,0.0,266.0
236,"Prince George's, MD",US,38.78,-76.87,2020-02-10,40.0,47.0,11.0,66.0,1022.0,0.0,122.0
237,"Pottawattamie, IA",US,41.39,-95.48,2020-02-10,18.0,36.0,9.0,78.0,1023.0,0.0,116.0
238,"Camden, NC",US,34.25,-80.61,2020-02-10,42.0,68.0,7.0,70.0,1026.0,0.0,116.0
239,"Pima, AZ",US,32.06,-111.67,2020-02-10,45.0,56.0,19.0,59.0,1010.0,0.0,176.0
240,"Noble, IN",US,41.43,-85.36,2020-02-10,29.0,33.0,6.0,92.0,1021.0,0.0,122.0
241,"Adams, IN",US,39.85,-77.29,2020-02-10,38.0,44.0,13.0,82.0,1020.0,0.0,122.0
242,"Boone, IN",US,40.01,-86.5,2020-02-10,29.0,35.0,8.0,90.0,1021.0,0.0,119.0
243,"Dane, WI",US,43.02,-89.55,2020-02-10,10.0,26.0,3.0,86.0,1024.0,0.0,116.0
244,"Pierce, WI",US,44.75,-92.38,2020-02-10,4.0,26.0,10.0,91.0,1021.0,0.0,143.0
245,"Cuyahoga, OH",US,41.43,-81.68,2020-02-10,31.0,37.0,6.0,96.0,1019.0,0.0,338.0
246,"Weber, UT",US,41.26,-111.95,2020-02-10,22.0,31.0,2.0,64.0,1027.0,0.0,116.0
247,"Bennington County, VT",US,43.03,-73.14,2020-02-10,26.0,36.0,12.0,98.0,1016.0,0.1,320.0
248,"Carver County, MN",US,44.83,-93.78,2020-02-10,7.0,29.0,13.0,89.0,1020.0,0.0,116.0
249,"Charlotte County, FL",US,26.89,-81.91,2020-02-10,62.0,80.0,14.0,68.0,1024.0,0.0,122.0
250,"Cherokee County, GA",US,34.25,-84.48,2020-02-10,38.0,49.0,7.0,87.0,1025.0,0.0,122.0
251,"Collin County, TX",US,33.18,-96.49,2020-02-10,42.0,47.0,14.0,76.0,1019.0,0.0,353.0
252,"Jefferson County, KY",US,38.19,-85.64,2020-02-10,40.0,51.0,5.0,96.0,1018.0,0.1,122.0
