,Province/State,Country/Region,Lat,Long,Date,Min Temp (F),Max Temp (F),Wind Speed (Miles),Humidity,Pressure,Precip (Inches),Weather Code
58,,Indonesia,-0.79,113.92,2020-03-23,73.0,99.0,2.0,46.0,1009.0,0.0,116.0
59,,Portugal,39.4,-8.22,2020-03-23,46.0,66.0,10.0,51.0,1013.0,0.0,116.0
60,,Andorra,42.51,1.52,2020-03-23,32.0,45.0,3.0,87.0,1019.0,0.0,317.0
61,Tasmania,Australia,-41.45,145.97,2020-03-23,48.0,58.0,5.0,57.0,1027.0,0.0,113.0
62,,Latvia,56.88,24.6,2020-03-23,29.0,39.0,1.0,39.0,1042.0,0.0,116.0
63,,Morocco,31.79,-7.09,2020-03-23,43.0,66.0,4.0,50.0,1006.0,0.0,116.0
64,,Saudi Arabia,24.0,45.0,2020-03-23,47.0,74.0,3.0,10.0,1017.0,0.0,113.0
65,,Senegal,14.5,-14.45,2020-03-23,73.0,100.0,5.0,13.0,1012.0,0.0,116.0
66,,Argentina,-38.42,-63.62,2020-03-23,72.0,95.0,22.0,29.0,1010.0,0.0,116.0
67,,Chile,-35.68,-71.54,2020-03-23,48.0,84.0,10.0,28.0,1018.0,0.0,116.0
68,,Jordan,31.24,36.51,2020-03-23,48.0,67.0,4.0,25.0,1014.0,0.0,116.0
69,,Ukraine,48.38,31.17,2020-03-23,29.0,38.0,18.0,40.0,1029.0,0.0,116.0
70,,Hungary,47.16,19.5,2020-03-23,25.0,38.0,22.0,59.0,1027.0,0.0,230.0
71,Northern Territory,Australia,-12.46,130.85,2020-03-23,80.0,88.0,1.0,59.0,1009.0,0.0,176.0
72,,Liechtenstein,47.14,9.55,2020-03-23,25.0,44.0,5.0,48.0,1028.0,0.0,113.0
73,,Poland,51.92,19.15,2020-03-23,26.0,37.0,13.0,34.0,1038.0,0.0,116.0
74,,Tunisia,34.0,9.0,2020-03-23,54.0,67.0,8.0,51.0,1016.0,0.0,116.0
75,,Bosnia and Herzegovina,43.92,17.68,2020-03-23,15.0,29.0,14.0,63.0,1024.0,0.0,338.0
76,,Slovenia,46.15,15.0,2020-03-23,28.0,41.0,15.0,27.0,1029.0,0.0,116.0
77,,South Africa,-30.56,22.94,2020-03-23,62.0,83.0,14.0,37.0,1016.0,0.0,116.0
78,,Bhutan,27.51,90.43,2020-03-23,33.0,51.0,5.0,53.0,1015.0,0.0,353.0
79,,Cameroon,3.85,11.5,2020-03-23,70.0,95.0,2.0,40.0,1010.0,0.0,116.0
80,,Colombia,4.57,-74.3,2020-03-23,51.0,64.0,3.0,68.0,1015.0,0.0,176.0
81,,Costa Rica,9.75,-83.75,2020-03-23,53.0,77.0,7.0,40.0,1014.0,0.0,116.0
82,,Peru,-9.19,-75.02,2020-03-23,73.0,90.0,2.0,67.0,1013.0,0.0,119.0
83,,Serbia,44.02,21.01,2020-03-23,30.0,38.0,11.0,39.0,1024.0,0.0,116.0
84,,Slovakia,48.67,19.7,2020-03-23,16.0,33.0,11.0,49.0,1031.0,0.0,116.0
